bot_a,bot_b,seed,a_was_first,winner_seat,winner_a_or_b,n_turns,stalemate,duration_ms
pimc_default,rules_full,12346,0,1,0,116,1,11958.593
pimc_default,rules_full,12350,0,1,0,110,1,12777.945
pimc_default,rules_full,12351,0,0,1,137,1,13706.914
pimc_default,rules_full,12350,1,1,1,81,0,14380.193
pimc_default,rules_full,12348,0,0,1,88,0,15120.175
pimc_default,rules_full,12347,0,0,1,112,0,15337.463
pimc_default,rules_full,12348,1,1,1,142,1,16810.190
pimc_default,rules_full,12349,1,0,0,124,1,17056.857
pimc_default,rules_full,12349,0,0,1,72,0,17272.068
pimc_default,rules_full,12345,0,1,0,149,1,17442.700
pimc_default,rules_full,12345,1,1,1,95,0,21371.095
pimc_default,rules_full,12347,1,0,0,153,1,22035.272
pimc_default,rules_full,12346,1,0,0,128,0,23538.335
pimc_default,rules_full,12352,1,1,1,59,0,13462.954
pimc_default,rules_full,12351,1,1,1,145,0,26265.864
pimc_default,rules_full,12352,0,0,1,84,0,19636.255
pimc_default,rules_full,12354,1,1,1,115,0,20396.141
pimc_default,rules_full,12353,0,0,1,180,0,21889.439
pimc_default,rules_full,12354,0,1,0,164,1,21079.610
pimc_default,rules_full,12356,0,0,1,104,0,19397.939
pimc_default,rules_full,12358,1,1,1,132,1,14507.827
pimc_default,rules_full,12355,1,1,1,161,1,22501.496
pimc_default,rules_full,12356,1,0,0,175,1,23452.930
pimc_default,rules_full,12359,1,1,1,125,1,14500.288
pimc_default,rules_full,12355,0,1,0,85,0,23722.173
pimc_default,rules_full,12353,1,1,1,175,1,28266.273
pimc_default,rules_full,12358,0,0,1,130,0,17961.969
pimc_default,rules_full,12357,1,1,1,137,0,22955.220
pimc_default,rules_full,12357,0,1,0,156,1,22846.586
pimc_default,rules_full,12360,0,1,0,135,1,13403.417
pimc_default,rules_full,12361,1,0,0,136,1,15604.574
pimc_default,rules_full,12360,1,1,1,67,0,18794.329
pimc_default,rules_full,12362,1,1,1,127,0,17402.382
pimc_default,rules_full,12364,1,0,0,125,1,15606.798
pimc_default,rules_full,12366,1,1,1,61,0,11918.333
pimc_default,rules_full,12361,0,0,1,138,0,20093.258
pimc_default,rules_full,12359,0,0,1,142,0,25509.862
pimc_default,rules_full,12365,0,0,1,120,0,15068.371
pimc_default,rules_full,12362,0,0,1,146,0,20331.988
pimc_default,rules_full,12365,1,1,1,111,0,17206.738
pimc_default,rules_full,12363,0,1,0,145,1,20660.669
pimc_default,rules_full,12363,1,1,1,174,0,20864.456
pimc_default,rules_full,12364,0,0,1,124,0,20111.149
pimc_default,rules_full,12368,1,0,0,136,1,13853.494
pimc_default,rules_full,12366,0,1,0,148,1,24619.806
pimc_default,rules_full,12367,0,0,1,102,0,20805.295
pimc_default,rules_full,12369,0,1,0,171,1,18332.117
pimc_default,rules_full,12369,1,1,1,136,1,18536.810
pimc_default,rules_full,12371,0,0,1,126,1,15787.736
pimc_default,rules_full,12370,1,1,1,123,1,19415.129
pimc_default,rules_full,12370,0,1,0,163,1,18427.876
pimc_default,rules_full,12372,0,0,1,140,1,16571.210
pimc_default,rules_full,12367,1,1,1,115,0,26151.750
pimc_default,rules_full,12372,1,1,1,113,0,19018.008
pimc_default,rules_full,12368,0,1,0,198,1,25879.868
pimc_default,rules_full,12371,1,1,1,145,0,24219.576
pimc_default,rules_full,12373,1,1,1,155,0,22200.232
pimc_default,rules_full,12373,0,1,0,147,1,19356.774
pimc_default,rules_full,12376,0,0,1,60,0,13808.261
pimc_default,rules_full,12376,1,1,1,140,1,14830.400
pimc_default,rules_full,12375,1,1,1,83,0,16545.759
pimc_default,rules_full,12374,0,0,1,148,0,18079.268
pimc_default,rules_full,12375,0,0,1,82,0,18902.252
pimc_default,rules_full,12378,1,1,1,95,0,19827.136
pimc_default,rules_full,12374,1,0,0,156,1,23786.018
pimc_default,rules_full,12377,1,0,0,154,0,21960.747
pimc_default,rules_full,12378,0,0,1,141,1,19681.376
pimc_default,rules_full,12377,0,0,1,136,0,22866.206
pimc_default,rules_full,12380,1,1,1,127,0,18835.880
pimc_default,rules_full,12381,0,0,1,66,0,15611.580
pimc_default,rules_full,12379,1,1,1,141,0,25450.951
pimc_default,rules_full,12380,0,0,1,152,0,20034.263
pimc_default,rules_full,12382,0,0,1,167,1,17251.570
pimc_default,rules_full,12383,1,1,1,130,1,16552.591
pimc_default,rules_full,12379,0,0,1,144,0,27008.669
pimc_default,rules_full,12381,1,0,0,174,0,23214.809
pimc_default,rules_full,12382,1,0,0,170,1,24207.421
pimc_default,rules_full,12384,0,1,0,147,1,16479.224
pimc_default,rules_full,12385,1,0,0,136,1,17053.197
pimc_default,rules_full,12384,1,1,1,107,0,19320.675
pimc_default,rules_full,12383,0,0,1,147,1,21501.236
pimc_default,rules_full,12385,0,0,1,78,0,21149.780
pimc_default,rules_full,12386,0,1,0,144,1,18488.221
pimc_default,rules_full,12386,1,1,1,129,0,22680.591
pimc_default,rules_full,12387,0,0,1,108,0,18121.502
pimc_default,rules_full,12389,1,1,1,153,0,18185.249
pimc_default,rules_full,12389,0,0,1,70,0,15094.732
pimc_default,rules_full,12387,1,1,1,101,0,22255.881
pimc_default,rules_full,12391,0,1,0,163,1,15196.965
pimc_default,rules_full,12388,1,1,1,141,0,24060.671
pimc_default,rules_full,12392,1,0,0,189,1,18690.794
pimc_default,rules_full,12390,1,1,1,197,0,22342.187
pimc_default,rules_full,12388,0,1,0,159,1,27747.690
pimc_default,rules_full,12391,1,1,1,165,0,25145.841
pimc_default,rules_full,12392,0,0,1,142,0,21680.176
pimc_default,rules_full,12393,1,0,0,156,1,24112.766
pimc_default,rules_full,12394,1,1,1,121,0,24306.843
pimc_default,rules_full,12394,0,0,1,177,1,24455.781
pimc_default,rules_full,12396,1,0,0,153,1,21330.594
pimc_default,rules_full,12390,0,1,0,141,0,37949.727
pimc_default,rules_full,12393,0,1,0,173,0,29151.361
pimc_default,rules_full,12395,0,0,1,138,0,26357.522
pimc_default,rules_full,12397,1,1,1,132,1,19150.902
pimc_default,rules_full,12398,0,1,0,120,1,15926.744
pimc_default,rules_full,12398,1,1,1,123,0,19771.516
pimc_default,rules_full,12395,1,0,0,132,0,31450.501
pimc_default,rules_full,12397,0,1,0,145,1,23912.248
pimc_default,rules_full,12396,0,0,1,128,0,28334.207
pimc_default,rules_full,12399,1,1,1,180,1,24258.652
pimc_default,rules_full,12400,0,0,1,120,0,15929.772
pimc_default,rules_full,12400,1,1,1,129,0,18360.478
pimc_default,rules_full,12401,0,0,1,119,1,16383.841
pimc_default,rules_full,12401,1,0,0,124,1,16928.641
pimc_default,rules_full,12403,1,1,1,188,0,15105.032
pimc_default,rules_full,12399,0,1,0,164,1,23310.314
pimc_default,rules_full,12402,0,0,1,128,0,18843.284
pimc_default,rules_full,12402,1,1,1,141,0,20944.511
pimc_default,rules_full,12403,0,0,1,90,0,18350.020
pimc_default,rules_full,12405,1,1,1,127,0,17283.853
pimc_default,rules_full,12404,0,0,1,154,1,20259.666
pimc_default,rules_full,12404,1,0,0,175,1,23451.554
pimc_default,rules_full,12406,1,1,1,83,0,14275.779
pimc_default,rules_full,12405,0,0,1,102,0,19787.248
pimc_default,rules_full,12408,1,0,0,141,1,14922.396
pimc_default,rules_full,12409,1,0,0,164,1,21243.992
pimc_default,rules_full,12408,0,1,0,176,1,22305.682
pimc_default,rules_full,12407,0,1,0,166,1,24207.416
pimc_default,rules_full,12410,1,1,1,174,1,18953.674
pimc_default,rules_full,12407,1,1,1,107,0,26039.826
pimc_default,rules_full,12406,0,0,1,136,0,26105.444
pimc_default,rules_full,12411,1,0,0,117,1,17699.704
pimc_default,rules_full,12412,1,0,0,157,1,15792.737
pimc_default,rules_full,12410,0,1,0,150,1,21175.885
pimc_default,rules_full,12413,1,1,1,85,0,15407.191
pimc_default,rules_full,12409,0,1,0,163,1,23935.929
pimc_default,rules_full,12412,0,0,1,142,0,22584.545
pimc_default,rules_full,12411,0,1,0,173,0,26082.996
pimc_default,rules_full,12413,0,0,1,164,0,24371.546
pimc_default,rules_full,12415,1,0,0,173,1,15705.321
pimc_default,rules_full,12416,1,0,0,170,1,15178.703
pimc_default,rules_full,12414,1,1,1,145,0,19125.444
pimc_default,rules_full,12417,0,1,0,165,0,15588.470
pimc_default,rules_full,12416,0,0,1,150,0,18369.157
pimc_default,rules_full,12415,0,0,1,124,0,19394.542
pimc_default,rules_full,12414,0,0,1,141,1,21489.717
pimc_default,rules_full,12417,1,0,0,126,1,21159.312
pimc_default,rules_full,12419,1,0,0,143,1,21270.131
pimc_default,rules_full,12418,0,1,0,95,0,22928.056
pimc_default,rules_full,12418,1,1,1,174,0,25162.123
pimc_default,rules_full,12421,0,1,0,108,1,12645.925
pimc_default,rules_full,12419,0,0,1,136,0,19691.739
pimc_default,rules_full,12420,1,0,0,168,0,20489.075
pimc_default,rules_full,12423,1,1,1,132,1,14597.492
pimc_default,rules_full,12422,1,1,1,57,0,15509.911
pimc_default,rules_full,12423,0,0,1,94,0,17794.389
pimc_default,rules_full,12421,1,1,1,171,1,24463.898
pimc_default,rules_full,12420,0,1,0,119,0,25883.508
pimc_default,rules_full,12425,0,0,1,92,0,16022.844
pimc_default,rules_full,12425,1,1,1,156,0,17570.783
pimc_default,rules_full,12426,1,0,0,127,1,15059.510
pimc_default,rules_full,12424,0,1,0,167,1,20263.667
pimc_default,rules_full,12422,0,0,1,128,0,26281.160
pimc_default,rules_full,12424,1,1,1,153,0,24582.548
pimc_default,rules_full,12426,0,0,1,72,0,17587.696
pimc_default,rules_full,12427,0,0,1,186,0,16447.987
pimc_default,rules_full,12429,1,0,0,135,1,14397.147
pimc_default,rules_full,12427,1,1,1,151,0,24148.889
pimc_default,rules_full,12428,0,0,1,138,0,20326.743
pimc_default,rules_full,12428,1,0,0,196,1,22708.894
pimc_default,rules_full,12430,0,1,0,144,1,17571.837
pimc_default,rules_full,12433,1,1,1,71,0,14071.666
pimc_default,rules_full,12431,1,1,1,161,0,17588.167
pimc_default,rules_full,12430,1,0,0,139,1,19717.346
pimc_default,rules_full,12429,0,0,1,158,1,21343.786
pimc_default,rules_full,12431,0,1,0,172,0,18643.228
pimc_default,rules_full,12433,0,0,1,148,0,16981.708
pimc_default,rules_full,12432,0,0,1,86,0,18656.490
pimc_default,rules_full,12432,1,1,1,87,0,20345.937
pimc_default,rules_full,12434,0,0,1,127,1,12894.966
pimc_default,rules_full,12434,1,1,1,150,1,20457.956
pimc_default,rules_full,12435,0,0,1,161,1,20311.813
pimc_default,rules_full,12439,1,1,1,142,1,13463.452
pimc_default,rules_full,12436,0,1,0,136,1,15931.543
pimc_default,rules_full,12438,1,0,0,125,1,16620.350
pimc_default,rules_full,12437,1,1,1,137,1,18815.275
pimc_default,rules_full,12435,1,1,1,148,1,25163.780
pimc_default,rules_full,12436,1,0,0,153,1,23817.856
pimc_default,rules_full,12438,0,0,1,162,1,20365.677
pimc_default,rules_full,12440,0,0,1,144,0,17955.608
pimc_default,rules_full,12437,0,1,0,176,1,23362.997
pimc_default,rules_full,12440,1,1,1,145,0,21348.614
pimc_default,rules_full,12441,1,1,1,119,0,20570.706
pimc_default,rules_full,12442,0,0,1,58,0,11450.309
pimc_default,rules_full,12442,1,0,0,142,1,12486.803
pimc_default,rules_full,12439,0,1,0,179,0,25970.332
pimc_default,rules_full,12441,0,0,1,151,0,20342.887
pimc_default,rules_full,12444,0,1,0,125,1,11171.016
pimc_default,rules_full,12443,1,1,1,141,1,15388.910
pimc_default,rules_full,12444,1,1,1,148,0,12678.083
pimc_default,rules_full,12443,0,1,0,148,1,15226.076
